epoch,training_loss,validation_loss,mean,std
0,197844.10874765625,20907.072918740047,4.959357846962081,76.72465603761754
1,21353.209376953124,14056.099626480394,10.429975640455881,51.940266141312875
2,18900.7975796875,15307.017543914211,60.81365978365474,46.25533681959712
3,16868.2756328125,12268.643231240048,23.831855548374357,45.215012699376224
4,16921.08205839844,11846.896425283638,-21.515637990968095,49.35138636806608
5,16301.170970117188,11770.935015052746,2.336681506584916,57.63119660407111
6,15622.952153027343,15908.461096113655,-70.60941521053844,47.907287522564936
7,15475.9070953125,9253.505778513138,8.881413352886836,35.62964506197179
8,15215.643124804688,10102.47583163316,-14.06024110938443,38.267939857053754
9,14328.40142109375,12979.552043939093,56.34348271899753,48.67053969905816
10,14391.487566503907,9366.620939801453,27.487918645275965,33.401908940313874
11,13823.355686230469,14588.960209743233,46.99872054439121,60.59054307127008
12,13781.556314941407,10767.790964308817,35.65708638220363,41.73126459956257
13,13486.616927441406,8853.936614407095,-6.976154414653778,40.97602721461345
14,12839.60993359375,10462.250139953225,12.554380089759826,51.02611640995127
15,12088.160936914062,8892.768525141819,-16.337127993981042,34.94506168307049
16,11140.336791015625,10050.709195859872,25.95734533129798,41.189283754145194
17,10464.157660449218,9203.279026298766,-38.80652990391519,28.666685430719138
18,10178.289603027344,8335.869896372413,-0.9404262042840322,36.39720986366826
19,9634.647280957031,8886.256965782992,4.894181640870041,34.069083234396075
20,9209.927697070312,8381.779142148935,-9.317085324280791,35.77585942739023
21,8978.369910058595,10068.153981202728,-11.001786128309037,43.78059813540044
22,8686.35246357422,9651.63641629553,-2.220644825657209,40.2724221129247
23,8398.916390039063,10039.66803561654,-25.780409842332205,43.614197211024006
24,8315.835800292969,10290.84925171676,9.862673916445837,49.19849875498374
25,8046.1275046875,10449.191438905753,-16.11028464319971,52.62703593409313
26,7929.613211767578,7926.7725830078125,-16.378360580444337,26.465366434489894
27,7622.915562792969,8547.217954599175,-3.6603923469252058,39.662095951470036
28,7549.2195046875,8414.298052162121,-11.018210282802581,39.36265678248246
29,7320.277514257812,9676.642433506668,2.475155976335208,48.33867209079269
30,7353.462698828125,8535.002800619526,6.52418838069174,37.77603730378783
31,7194.489844824218,8358.492538160579,13.031167283561494,31.497397612264063
32,6854.2386170898435,8475.43297484574,-0.24981646699375576,38.38888364711281
33,6971.149581103516,8822.526388180484,-28.59652969398474,37.77787937732401
34,6918.249230175781,7714.540304973627,-13.6498952565723,30.187011965816474
35,6636.210736230469,8097.67423787694,-2.1926359480751887,30.05271789626877
36,6610.098317382813,7912.797107477856,-10.787263924413256,31.33821128002215
37,6269.922310253906,8037.32388674985,3.1616389066378274,33.33609992422054
38,6612.0658,8050.840906616989,13.49514804204305,32.19213159227691
39,6353.145382421875,7567.106283200015,-2.6938312419520485,28.643026240401657
40,6128.172546875,8224.162044841014,-1.2466884871058994,33.72684495440165
41,5929.089767529297,7785.991914591212,-8.913392637729645,35.06042286639205
42,5962.730639306641,7932.167417489799,14.068605069928699,28.16340682244134
43,5728.325666796875,9954.389739407095,-9.259055276711782,37.934642221231684
44,5665.29797084961,9553.046322962282,-28.77835377052095,30.72359630098923
45,5680.0908773925785,8270.796452030254,6.3929185965855915,33.48360282515197
46,5626.677649414062,7960.739725100766,-5.766349588182237,30.717425215558986
47,5502.207973242187,8027.584246398537,19.935368908206623,26.298727634291996
48,5448.714427978515,10189.667001517715,34.81776341088613,41.11378838676021
49,5363.747043505859,7948.469057897094,8.341407390342818,26.284924492588814
